Business_ID,Business_Age_Years,Industry,Region,Annual_Revenue_AUD,Annual_Profit_AUD,Total_Assets_AUD,Total_Liabilities_AUD,Owner_Credit_Score,Loan_Amount_AUD,Loan_Term_Months,Previous_Loans,Previous_Defaults,Industry_Growth_Rate,Debt_to_Asset_Ratio,Profit_Margin,Loan_to_Revenue_Ratio,Net_Worth,Revenue_per_Year_in_Business,Interest_Coverage_Ratio,Risk_Score,Defaulted,Business_Age_Category,Credit_Score_Category,Loan_Size_Category,Leverage_Category
BIZ1000,3,IT,SA,138150,5703,84267,37484,687,47509,36,2,0,-2.2,0.445,0.041,0.344,46783,34537.5,1.5,0.18,0,Established,Good,Small,Low
BIZ1001,19,Manufacturing,NT,667708,80469,499651,306251,733,172331,48,3,0,5.1,0.613,0.121,0.258,193400,33385.4,5.836,0.215,0,Mature,Good,Medium,Medium
BIZ1002,8,IT,VIC,128559,20379,72171,105897,578,60309,48,1,0,6.49,1.467,0.159,0.469,-33726,14284.33,4.223,0.508,1,Established,Fair,Medium,High
BIZ1003,6,Construction,ACT,86999,1573,213469,465879,625,29447,36,2,0,6.93,2.182,0.018,0.338,-252410,12428.43,0.667,0.855,1,Established,Good,Small,High
BIZ1004,2,Healthcare,TAS,57216,1782,63894,31323,530,5000,36,1,0,-0.89,0.49,0.031,0.087,32571,19072.0,4.444,0.397,0,Startup,Fair,Small,Low
BIZ1005,2,Transport,WA,86160,4103,52270,46831,664,39196,36,3,0,3.46,0.896,0.048,0.455,5439,28720.0,1.308,0.328,1,Startup,Good,Small,Medium
BIZ1006,1,Construction,QLD,53084,6304,41833,27724,607,24032,36,3,1,-0.52,0.663,0.119,0.453,14109,26542.0,3.277,0.667,0,Startup,Fair,Small,Medium
BIZ1007,13,Retail,WA,119141,11111,227942,475844,301,16778,48,3,2,8.32,2.088,0.093,0.141,-247902,8510.07,8.272,1.0,1,Mature,Poor,Small,High
BIZ1008,6,Retail,ACT,106136,13282,154268,373780,599,61151,48,1,0,2.59,2.423,0.125,0.576,-219512,15162.29,2.714,0.793,1,Established,Fair,Medium,High
BIZ1009,8,IT,QLD,30000,5003,15000,5378,534,5194,24,3,0,1.39,0.359,0.167,0.173,9622,3333.33,12.011,0.328,0,Established,Fair,Small,Low
BIZ1010,1,Education,ACT,97441,5070,44463,33117,828,29404,36,2,0,0.84,0.745,0.052,0.302,11346,48720.5,2.154,0.246,0,Startup,Excellent,Small,Medium
BIZ1011,22,Professional Services,QLD,209672,19571,107386,12938,400,23714,60,2,1,3.5,0.12,0.093,0.113,94448,9116.17,10.311,0.479,0,Mature,Poor,Small,Low
BIZ1012,11,Education,WA,74654,8834,46948,18694,551,28503,36,4,1,4.05,0.398,0.118,0.382,28254,6221.17,3.872,0.353,0,Mature,Fair,Small,Low
BIZ1013,2,Agriculture,QLD,62503,9126,35800,10816,679,16031,48,1,0,-2.44,0.302,0.146,0.256,24984,20834.33,7.11,0.195,0,Startup,Good,Small,Low
BIZ1014,2,Education,QLD,37631,2375,31444,24375,746,9191,48,0,0,6.69,0.775,0.063,0.244,7069,12543.67,3.226,0.254,0,Startup,Good,Small,Medium
BIZ1015,2,Agriculture,VIC,30000,6403,38192,24027,454,15145,36,0,0,3.91,0.629,0.213,0.505,14165,10000.0,5.28,0.477,0,Startup,Poor,Small,Medium
BIZ1016,3,Agriculture,SA,176653,2059,248584,73760,310,9761,36,3,1,6.67,0.297,0.012,0.055,174824,44163.25,2.633,0.65,0,Established,Poor,Small,Low
BIZ1017,5,Transport,SA,86939,6849,58505,32699,820,42501,48,2,0,7.63,0.559,0.079,0.489,25806,14489.83,2.014,0.131,0,Established,Excellent,Small,Medium
BIZ1018,4,Healthcare,TAS,169467,4644,52031,11003,723,61736,36,1,1,2.2,0.211,0.027,0.364,41028,33893.4,0.94,0.338,0,Established,Good,Medium,Low
BIZ1019,3,Transport,TAS,288348,42317,126459,107803,601,170804,36,0,0,5.07,0.852,0.147,0.592,18656,72087.0,3.097,0.39,0,Established,Fair,Medium,Medium
BIZ1020,6,Agriculture,NT,188127,19198,112758,20100,678,70395,48,1,0,0.77,0.178,0.102,0.374,92658,26875.29,3.408,0.181,0,Established,Good,Medium,Low
BIZ1021,1,Construction,NT,67530,4109,26194,12813,611,5433,48,2,1,1.1,0.489,0.061,0.08,13381,33765.0,9.432,0.593,0,Startup,Fair,Small,Low
BIZ1022,3,Retail,NT,109251,2537,177356,130551,530,8505,24,1,0,7.22,0.736,0.023,0.078,46805,27312.75,3.723,0.711,1,Established,Fair,Small,Medium
BIZ1023,3,Agriculture,VIC,64193,3193,25898,5379,651,34390,24,0,0,0.28,0.208,0.05,0.536,20519,16048.25,1.16,0.241,1,Established,Good,Small,Low
BIZ1024,4,Transport,TAS,60126,2685,71284,52211,798,30824,24,6,0,3.09,0.732,0.045,0.513,19073,12025.2,1.088,0.2,0,Established,Excellent,Small,Medium
BIZ1025,10,Construction,ACT,125488,7089,37452,12886,538,30147,36,1,0,-0.22,0.344,0.056,0.24,24566,11408.0,2.938,0.532,0,Mature,Fair,Small,Low
BIZ1026,2,Transport,NT,55126,4401,66949,44149,797,21494,36,2,0,0.53,0.659,0.08,0.39,22800,18375.33,2.558,0.249,0,Startup,Excellent,Small,Medium
